motif_chr	motif_start	motif_end	motif	motif_score	motif_strand	tss_chr	tss_start	tss_end	tss_info	tss_score	tss_strand	TSS_id	oligo_reg_x	oligo_reg_y	enhancer_id	oligo_reg	unique_id
chr13	48877847	48877857	ELK1	11.2553	+	chr13	48877802	48877917	div_lnc__p1@LINC00441__chr13:48877818..48877843,-	0	-	chr13:48877818..48877843,-	chr13:48877802..48877916,-			chr13:48877802..48877916,-	WILDTYPE__Lincrna.flip.sense__chr13:48877802..48877916,-__269.1.0.0
chr13	48877847	48877858	ELK4	13.9636	-	chr13	48877802	48877917	div_lnc__p1@LINC00441__chr13:48877818..48877843,-	0	-	chr13:48877818..48877843,-	chr13:48877802..48877916,-			chr13:48877802..48877916,-	WILDTYPE__Lincrna.flip.sense__chr13:48877802..48877916,-__269.1.0.0
chr13	48877847	48877857	ETS1	11.3276	+	chr13	48877802	48877917	div_lnc__p1@LINC00441__chr13:48877818..48877843,-	0	-	chr13:48877818..48877843,-	chr13:48877802..48877916,-			chr13:48877802..48877916,-	WILDTYPE__Lincrna.flip.sense__chr13:48877802..48877916,-__269.1.0.0
chr13	48877848	48877859	Gabpa	15.0328	+	chr13	48877802	48877917	div_lnc__p1@LINC00441__chr13:48877818..48877843,-	0	-	chr13:48877818..48877843,-	chr13:48877802..48877916,-			chr13:48877802..48877916,-	WILDTYPE__Lincrna.flip.sense__chr13:48877802..48877916,-__269.1.0.0
chr14	23388615	23388626	E2F4	12.2241	+	chr14	23388584	23388699	div_lnc__p1@ENST00000424245__chr14:23388656..23388671,+	0	+	chr14:23388656..23388671,+	chr14:23388585..23388699,+			chr14:23388585..23388699,+	WILDTYPE__Antisense.noflip.NA__chr14:23388585..23388699,+__283.1.0.0
chr14	23388585	23388603	NFYA	11.2439	+	chr14	23388584	23388699	div_lnc__p1@ENST00000424245__chr14:23388656..23388671,+	0	+	chr14:23388656..23388671,+	chr14:23388585..23388699,+			chr14:23388585..23388699,+	WILDTYPE__Antisense.noflip.NA__chr14:23388585..23388699,+__283.1.0.0
chr14	23388591	23388606	NFYB	14.9038	-	chr14	23388584	23388699	div_lnc__p1@ENST00000424245__chr14:23388656..23388671,+	0	+	chr14:23388656..23388671,+	chr14:23388585..23388699,+			chr14:23388585..23388699,+	WILDTYPE__Antisense.noflip.NA__chr14:23388585..23388699,+__283.1.0.0
chr14	23388613	23388624	SP1	15.0769	-	chr14	23388584	23388699	div_lnc__p1@ENST00000424245__chr14:23388656..23388671,+	0	+	chr14:23388656..23388671,+	chr14:23388585..23388699,+			chr14:23388585..23388699,+	WILDTYPE__Antisense.noflip.NA__chr14:23388585..23388699,+__283.1.0.0
chr14	39736329	39736340	E2F4	11.1552	-	chr14	39736252	39736367	antisense__p2@LOC100288846__chr14:39736281..39736294,-	0	-	chr14:39736281..39736294,-	chr14:39736252..39736366,-			chr14:39736252..39736366,-	WILDTYPE__Antisense.flip.sense__chr14:39736252..39736366,-__288.1.0.0
chr14	39736290	39736301	NRF1	10.3636	+	chr14	39736252	39736367	antisense__p2@LOC100288846__chr14:39736281..39736294,-	0	-	chr14:39736281..39736294,-	chr14:39736252..39736366,-			chr14:39736252..39736366,-	WILDTYPE__Antisense.flip.sense__chr14:39736252..39736366,-__288.1.0.0
chr14	75726011	75726022	E2F4	14.5172	-	chr14	75725979	75726094	antisense__p1@ENST00000555909__chr14:75726044..75726086,+	0	+	chr14:75726044..75726086,+	chr14:75725980..75726094,+			chr14:75725980..75726094,+	WILDTYPE__Antisense.noflip.NA__chr14:75725980..75726094,+__302.1.0.0
chr14	75726011	75726022	E2F6	14.0	-	chr14	75725979	75726094	antisense__p1@ENST00000555909__chr14:75726044..75726086,+	0	+	chr14:75726044..75726086,+	chr14:75725980..75726094,+			chr14:75725980..75726094,+	WILDTYPE__Antisense.noflip.NA__chr14:75725980..75726094,+__302.1.0.0
chr14	75726060	75726071	FOXP2	12.8788	-	chr14	75725979	75726094	antisense__p1@ENST00000555909__chr14:75726044..75726086,+	0	+	chr14:75726044..75726086,+	chr14:75725980..75726094,+			chr14:75725980..75726094,+	WILDTYPE__Antisense.noflip.NA__chr14:75725980..75726094,+__302.1.0.0
chr14	75725979	75725989	NFYA	22.2195	+	chr14	75725979	75726094	antisense__p1@ENST00000555909__chr14:75726044..75726086,+	0	+	chr14:75726044..75726086,+	chr14:75725980..75726094,+			chr14:75725980..75726094,+	WILDTYPE__Antisense.noflip.NA__chr14:75725980..75726094,+__302.1.0.0
chr14	75725979	75725992	NFYB	17.2885	-	chr14	75725979	75726094	antisense__p1@ENST00000555909__chr14:75726044..75726086,+	0	+	chr14:75726044..75726086,+	chr14:75725980..75726094,+			chr14:75725980..75726094,+	WILDTYPE__Antisense.noflip.NA__chr14:75725980..75726094,+__302.1.0.0
chr14	75726017	75726028	NRF1	12.5636	-	chr14	75725979	75726094	antisense__p1@ENST00000555909__chr14:75726044..75726086,+	0	+	chr14:75726044..75726086,+	chr14:75725980..75726094,+			chr14:75725980..75726094,+	WILDTYPE__Antisense.noflip.NA__chr14:75725980..75726094,+__302.1.0.0
chr14	75725983	75725994	TFAP2A	12.8727	-	chr14	75725979	75726094	antisense__p1@ENST00000555909__chr14:75726044..75726086,+	0	+	chr14:75726044..75726086,+	chr14:75725980..75726094,+			chr14:75725980..75726094,+	WILDTYPE__Antisense.noflip.NA__chr14:75725980..75726094,+__302.1.0.0
chr14	75725982	75725994	TFAP2C	11.8367	-	chr14	75725979	75726094	antisense__p1@ENST00000555909__chr14:75726044..75726086,+	0	+	chr14:75726044..75726086,+	chr14:75725980..75726094,+			chr14:75725980..75726094,+	WILDTYPE__Antisense.noflip.NA__chr14:75725980..75726094,+__302.1.0.0
chr14	78083131	78083142	E2F4	10.2241	+	chr14	78083089	78083204	protein_coding__p3@SPTLC2__chr14:78083112..78083140,-	0	-	chr14:78083112..78083140,-	chr14:78083089..78083203,-			chr14:78083089..78083203,-	WILDTYPE__mrna.noflip.NA__chr14:78083089..78083203,-__1325.1.0.0
chr14	81636773	81636784	E2F4	10.8448	+	chr14	81636708	81636823	intergenic__p1@ENST00000557775__chr14:81636732..81636779,-	0	-	chr14:81636732..81636779,-	chr14:81636708..81636822,-			chr14:81636708..81636822,-	WILDTYPE__Antisense.noflip.NA__chr14:81636708..81636822,-__305.1.0.0
chr14	81636766	81636777	NRF1	16.4182	-	chr14	81636708	81636823	intergenic__p1@ENST00000557775__chr14:81636732..81636779,-	0	-	chr14:81636732..81636779,-	chr14:81636708..81636822,-			chr14:81636708..81636822,-	WILDTYPE__Antisense.noflip.NA__chr14:81636708..81636822,-__305.1.0.0
chr15	40331467	40331478	E2F4	13.0862	-	chr15	40331440	40331555	div_lnc__p1@LOC100131089__chr15:40331456..40331554,+	0	+	chr15:40331456..40331554,+	chr15:40331441..40331555,+			chr15:40331441..40331555,+	WILDTYPE__Lincrna.flip.sense__chr15:40331441..40331555,+__313.1.0.0
chr15	40331457	40331472	NR2C2	13.1286	-	chr15	40331440	40331555	div_lnc__p1@LOC100131089__chr15:40331456..40331554,+	0	+	chr15:40331456..40331554,+	chr15:40331441..40331555,+			chr15:40331441..40331555,+	WILDTYPE__Lincrna.flip.sense__chr15:40331441..40331555,+__313.1.0.0
chr15	40331529	40331550	REST	13.8265	-	chr15	40331440	40331555	div_lnc__p1@LOC100131089__chr15:40331456..40331554,+	0	+	chr15:40331456..40331554,+	chr15:40331441..40331555,+			chr15:40331441..40331555,+	WILDTYPE__Lincrna.flip.sense__chr15:40331441..40331555,+__313.1.0.0
chr15	40331457	40331472	SP2	14.931	+	chr15	40331440	40331555	div_lnc__p1@LOC100131089__chr15:40331456..40331554,+	0	+	chr15:40331456..40331554,+	chr15:40331441..40331555,+			chr15:40331441..40331555,+	WILDTYPE__Lincrna.flip.sense__chr15:40331441..40331555,+__313.1.0.0
chr15	40331544	40331555	USF1	11.4898	-	chr15	40331440	40331555	div_lnc__p1@LOC100131089__chr15:40331456..40331554,+	0	+	chr15:40331456..40331554,+	chr15:40331441..40331555,+			chr15:40331441..40331555,+	WILDTYPE__Lincrna.flip.sense__chr15:40331441..40331555,+__313.1.0.0
chr15	40987364	40987374	E2F4	11.7759	+	chr15	40987259	40987374	div_lnc__p1@LOC100505648__chr15:40987282..40987311,-	0	-	chr15:40987282..40987311,-	chr15:40987259..40987373,-			chr15:40987259..40987373,-	WILDTYPE__Antisense.flip.sense__chr15:40987259..40987373,-__315.1.0.0
chr15	40987364	40987374	E2F6	11.0345	+	chr15	40987259	40987374	div_lnc__p1@LOC100505648__chr15:40987282..40987311,-	0	-	chr15:40987282..40987311,-	chr15:40987259..40987373,-			chr15:40987259..40987373,-	WILDTYPE__Antisense.flip.sense__chr15:40987259..40987373,-__315.1.0.0
chr15	40987285	40987296	ELK4	14.4364	-	chr15	40987259	40987374	div_lnc__p1@LOC100505648__chr15:40987282..40987311,-	0	-	chr15:40987282..40987311,-	chr15:40987259..40987373,-			chr15:40987259..40987373,-	WILDTYPE__Antisense.flip.sense__chr15:40987259..40987373,-__315.1.0.0
chr15	40987286	40987297	Gabpa	14.3115	+	chr15	40987259	40987374	div_lnc__p1@LOC100505648__chr15:40987282..40987311,-	0	-	chr15:40987282..40987311,-	chr15:40987259..40987373,-			chr15:40987259..40987373,-	WILDTYPE__Antisense.flip.sense__chr15:40987259..40987373,-__315.1.0.0
chr15	40987312	40987323	SP1	15.6346	-	chr15	40987259	40987374	div_lnc__p1@LOC100505648__chr15:40987282..40987311,-	0	-	chr15:40987282..40987311,-	chr15:40987259..40987373,-			chr15:40987259..40987373,-	WILDTYPE__Antisense.flip.sense__chr15:40987259..40987373,-__315.1.0.0
chr15	74753563	74753574	E2F4	11.7414	-	chr15	74753559	74753674	div_lnc__p1@LOC440288__chr15:74753622..74753661,+	0	+	chr15:74753622..74753661,+	chr15:74753560..74753674,+			chr15:74753560..74753674,+	WILDTYPE__Lincrna.noflip.NA__chr15:74753560..74753674,+__331.1.0.0
chr15	74753565	74753579	EGR1	16.6731	+	chr15	74753559	74753674	div_lnc__p1@LOC440288__chr15:74753622..74753661,+	0	+	chr15:74753622..74753661,+	chr15:74753560..74753674,+			chr15:74753560..74753674,+	WILDTYPE__Lincrna.noflip.NA__chr15:74753560..74753674,+__331.1.0.0
chr15	74753565	74753576	SP1	17.9038	+	chr15	74753559	74753674	div_lnc__p1@LOC440288__chr15:74753622..74753661,+	0	+	chr15:74753622..74753661,+	chr15:74753560..74753674,+			chr15:74753560..74753674,+	WILDTYPE__Lincrna.noflip.NA__chr15:74753560..74753674,+__331.1.0.0
chr15	74753562	74753579	SP4	5.03636	+	chr15	74753559	74753674	div_lnc__p1@LOC440288__chr15:74753622..74753661,+	0	+	chr15:74753622..74753661,+	chr15:74753560..74753674,+			chr15:74753560..74753674,+	WILDTYPE__Lincrna.noflip.NA__chr15:74753560..74753674,+__331.1.0.0
chr15	74753613	74753627	SPI1	2.0363599999999997	-	chr15	74753559	74753674	div_lnc__p1@LOC440288__chr15:74753622..74753661,+	0	+	chr15:74753622..74753661,+	chr15:74753560..74753674,+			chr15:74753560..74753674,+	WILDTYPE__Lincrna.noflip.NA__chr15:74753560..74753674,+__331.1.0.0
chr15	74753569	74753584	TBP	11.4306	-	chr15	74753559	74753674	div_lnc__p1@LOC440288__chr15:74753622..74753661,+	0	+	chr15:74753622..74753661,+	chr15:74753560..74753674,+			chr15:74753560..74753674,+	WILDTYPE__Lincrna.noflip.NA__chr15:74753560..74753674,+__331.1.0.0
chr15	74753667	74753674	TEAD4	11.0	-	chr15	74753559	74753674	div_lnc__p1@LOC440288__chr15:74753622..74753661,+	0	+	chr15:74753622..74753661,+	chr15:74753560..74753674,+			chr15:74753560..74753674,+	WILDTYPE__Lincrna.noflip.NA__chr15:74753560..74753674,+__331.1.0.0
chr15	93363692	93363703	E2F4	9.827589999999999	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363677..93363791,-	chr15:93363497-93364154	chr15:93363677..93363791,-	WILDTYPE__Enhancer.noflip.NA__chr15:93363677..93363791,-__2058.1.0.0
chr15	93363750	93363764	EGR1	17.0192	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363677..93363791,-	chr15:93363497-93364154	chr15:93363677..93363791,-	WILDTYPE__Enhancer.noflip.NA__chr15:93363677..93363791,-__2058.1.0.0
chr15	93363704	93363715	NRF1	15.9455	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363677..93363791,-	chr15:93363497-93364154	chr15:93363677..93363791,-	WILDTYPE__Enhancer.noflip.NA__chr15:93363677..93363791,-__2058.1.0.0
chr15	93363750	93363761	SP1	13.7692	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363677..93363791,-	chr15:93363497-93364154	chr15:93363677..93363791,-	WILDTYPE__Enhancer.noflip.NA__chr15:93363677..93363791,-__2058.1.0.0
chr15	93363784	93363793	YY1	16.1154	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363677..93363791,-	chr15:93363497-93364154	chr15:93363677..93363791,-	WILDTYPE__Enhancer.noflip.NA__chr15:93363677..93363791,-__2058.1.0.0
chr15	93363692	93363703	E2F4	9.827589999999999	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363679..93363793,+	chr15:93363497-93364154	chr15:93363679..93363793,+	WILDTYPE__Enhancer.noflip.NA__chr15:93363679..93363793,+__1765.1.0.0
chr15	93363750	93363764	EGR1	17.0192	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363679..93363793,+	chr15:93363497-93364154	chr15:93363679..93363793,+	WILDTYPE__Enhancer.noflip.NA__chr15:93363679..93363793,+__1765.1.0.0
chr15	93363704	93363715	NRF1	15.9455	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363679..93363793,+	chr15:93363497-93364154	chr15:93363679..93363793,+	WILDTYPE__Enhancer.noflip.NA__chr15:93363679..93363793,+__1765.1.0.0
chr15	93363750	93363761	SP1	13.7692	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363679..93363793,+	chr15:93363497-93364154	chr15:93363679..93363793,+	WILDTYPE__Enhancer.noflip.NA__chr15:93363679..93363793,+__1765.1.0.0
chr15	93363784	93363793	YY1	16.1154	+	chr15	93363678	93363793	Enhancer__chr15:93363497-93364154	0	+	chr15:93363497-93364154		chr15:93363679..93363793,+	chr15:93363497-93364154	chr15:93363679..93363793,+	WILDTYPE__Enhancer.noflip.NA__chr15:93363679..93363793,+__1765.1.0.0
chr16	2014895	2014906	E2F4	10.4655	+	chr16	2014867	2014982	div_lnc__p3@SNHG9__chr16:2014941..2014964,+	0	+	chr16:2014941..2014964,+	chr16:2014868..2014982,+			chr16:2014868..2014982,+	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0
chr16	2014895	2014906	E2F6	12.3103	+	chr16	2014867	2014982	div_lnc__p3@SNHG9__chr16:2014941..2014964,+	0	+	chr16:2014941..2014964,+	chr16:2014868..2014982,+			chr16:2014868..2014982,+	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0
chr16	2014924	2014942	NFYA	12.3415	+	chr16	2014867	2014982	div_lnc__p3@SNHG9__chr16:2014941..2014964,+	0	+	chr16:2014941..2014964,+	chr16:2014868..2014982,+			chr16:2014868..2014982,+	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0
chr16	2014930	2014945	NFYB	13.5192	-	chr16	2014867	2014982	div_lnc__p3@SNHG9__chr16:2014941..2014964,+	0	+	chr16:2014941..2014964,+	chr16:2014868..2014982,+			chr16:2014868..2014982,+	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0
chr16	2014900	2014921	REST	4.03061	-	chr16	2014867	2014982	div_lnc__p3@SNHG9__chr16:2014941..2014964,+	0	+	chr16:2014941..2014964,+	chr16:2014868..2014982,+			chr16:2014868..2014982,+	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0
chr16	2014947	2014958	SP1	16.5962	+	chr16	2014867	2014982	div_lnc__p3@SNHG9__chr16:2014941..2014964,+	0	+	chr16:2014941..2014964,+	chr16:2014868..2014982,+			chr16:2014868..2014982,+	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0
chr16	2014882	2014899	SP4	11.2	+	chr16	2014867	2014982	div_lnc__p3@SNHG9__chr16:2014941..2014964,+	0	+	chr16:2014941..2014964,+	chr16:2014868..2014982,+			chr16:2014868..2014982,+	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0
chr16	2014950	2014959	THAP1	10.3158	+	chr16	2014867	2014982	div_lnc__p3@SNHG9__chr16:2014941..2014964,+	0	+	chr16:2014941..2014964,+	chr16:2014868..2014982,+			chr16:2014868..2014982,+	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0
chr16	2014867	2014878	ZBTB33	13.3788	-	chr16	2014867	2014982	div_lnc__p3@SNHG9__chr16:2014941..2014964,+	0	+	chr16:2014941..2014964,+	chr16:2014868..2014982,+			chr16:2014868..2014982,+	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0
chr16	4475824	4475835	E2F4	13.7069	-	chr16	4475788	4475903	protein_coding__p1@DNAJA3__chr16:4475853..4475887,+	0	+	chr16:4475853..4475887,+	chr16:4475789..4475903,+			chr16:4475789..4475903,+	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:4475789..4475903,+__1508.1.0.0
chr16	4475824	4475835	E2F6	12.0	-	chr16	4475788	4475903	protein_coding__p1@DNAJA3__chr16:4475853..4475887,+	0	+	chr16:4475853..4475887,+	chr16:4475789..4475903,+			chr16:4475789..4475903,+	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:4475789..4475903,+__1508.1.0.0
chr16	4475788	4475792	NRF1	19.0545	+	chr16	4475788	4475903	protein_coding__p1@DNAJA3__chr16:4475853..4475887,+	0	+	chr16:4475853..4475887,+	chr16:4475789..4475903,+			chr16:4475789..4475903,+	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:4475789..4475903,+__1508.1.0.0
chr16	4475878	4475890	YY1	18.9038	+	chr16	4475788	4475903	protein_coding__p1@DNAJA3__chr16:4475853..4475887,+	0	+	chr16:4475853..4475887,+	chr16:4475789..4475903,+			chr16:4475789..4475903,+	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:4475789..4475903,+__1508.1.0.0
chr16	4475826	4475841	ZBTB33	14.4394	+	chr16	4475788	4475903	protein_coding__p1@DNAJA3__chr16:4475853..4475887,+	0	+	chr16:4475853..4475887,+	chr16:4475789..4475903,+			chr16:4475789..4475903,+	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:4475789..4475903,+__1508.1.0.0
chr16	4475833	4475845	ZBTB7A	10.3429	+	chr16	4475788	4475903	protein_coding__p1@DNAJA3__chr16:4475853..4475887,+	0	+	chr16:4475853..4475887,+	chr16:4475789..4475903,+			chr16:4475789..4475903,+	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:4475789..4475903,+__1508.1.0.0
chr16	74700792	74700803	E2F4	13.2069	-	chr16	74700722	74700837	protein_coding__p1@RFWD3__chr16:74700747..74700804,-	0	-	chr16:74700747..74700804,-	chr16:74700722..74700836,-			chr16:74700722..74700836,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:74700722..74700836,-__1511.1.0.0
chr16	74700792	74700803	E2F6	12.2931	-	chr16	74700722	74700837	protein_coding__p1@RFWD3__chr16:74700747..74700804,-	0	-	chr16:74700747..74700804,-	chr16:74700722..74700836,-			chr16:74700722..74700836,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:74700722..74700836,-__1511.1.0.0
chr16	74700774	74700786	ELF1	12.3455	-	chr16	74700722	74700837	protein_coding__p1@RFWD3__chr16:74700747..74700804,-	0	-	chr16:74700747..74700804,-	chr16:74700722..74700836,-			chr16:74700722..74700836,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:74700722..74700836,-__1511.1.0.0
chr16	74700774	74700784	ELK1	14.765999999999998	-	chr16	74700722	74700837	protein_coding__p1@RFWD3__chr16:74700747..74700804,-	0	-	chr16:74700747..74700804,-	chr16:74700722..74700836,-			chr16:74700722..74700836,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:74700722..74700836,-__1511.1.0.0
chr16	74700773	74700784	ELK4	15.2364	+	chr16	74700722	74700837	protein_coding__p1@RFWD3__chr16:74700747..74700804,-	0	-	chr16:74700747..74700804,-	chr16:74700722..74700836,-			chr16:74700722..74700836,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:74700722..74700836,-__1511.1.0.0
chr16	74700774	74700784	ETS1	12.8103	-	chr16	74700722	74700837	protein_coding__p1@RFWD3__chr16:74700747..74700804,-	0	-	chr16:74700747..74700804,-	chr16:74700722..74700836,-			chr16:74700722..74700836,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:74700722..74700836,-__1511.1.0.0
chr16	74700772	74700783	Gabpa	18.0164	-	chr16	74700722	74700837	protein_coding__p1@RFWD3__chr16:74700747..74700804,-	0	-	chr16:74700747..74700804,-	chr16:74700722..74700836,-			chr16:74700722..74700836,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr16:74700722..74700836,-__1511.1.0.0
chr16	89724226	89724237	E2F4	11.7931	+	chr16	89724163	89724278	protein_coding__p2@C16orf55__chr16:89724188..89724261,+	0	+	chr16:89724188..89724261,+	chr16:89724164..89724278,+			chr16:89724164..89724278,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr16:89724164..89724278,+__1513.1.0.0
chr16	89724267	89724278	EGR1	13.3462	-	chr16	89724163	89724278	protein_coding__p2@C16orf55__chr16:89724188..89724261,+	0	+	chr16:89724188..89724261,+	chr16:89724164..89724278,+			chr16:89724164..89724278,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr16:89724164..89724278,+__1513.1.0.0
chr16	89724185	89724196	NRF1	15.9455	+	chr16	89724163	89724278	protein_coding__p2@C16orf55__chr16:89724188..89724261,+	0	+	chr16:89724188..89724261,+	chr16:89724164..89724278,+			chr16:89724164..89724278,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr16:89724164..89724278,+__1513.1.0.0
chr16	89724174	89724185	SP1	17.8077	-	chr16	89724163	89724278	protein_coding__p2@C16orf55__chr16:89724188..89724261,+	0	+	chr16:89724188..89724261,+	chr16:89724164..89724278,+			chr16:89724164..89724278,+	WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr16:89724164..89724278,+__1513.1.0.0
chr17	3539593	3539604	E2F4	12.0517	+	chr17	3539539	3539654	protein_coding__p2@SHPK__chr17:3539558..3539589,-	0	-	chr17:3539558..3539589,-	chr17:3539539..3539653,-			chr17:3539539..3539653,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr17:3539539..3539653,-__1245.1.0.0
chr17	3539586	3539597	NRF1	9.981819999999999	-	chr17	3539539	3539654	protein_coding__p2@SHPK__chr17:3539558..3539589,-	0	-	chr17:3539558..3539589,-	chr17:3539539..3539653,-			chr17:3539539..3539653,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr17:3539539..3539653,-__1245.1.0.0
chr17	3539591	3539602	SP1	16.2885	-	chr17	3539539	3539654	protein_coding__p2@SHPK__chr17:3539558..3539589,-	0	-	chr17:3539558..3539589,-	chr17:3539539..3539653,-			chr17:3539539..3539653,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr17:3539539..3539653,-__1245.1.0.0
chr17	3539629	3539641	YY1	15.1154	+	chr17	3539539	3539654	protein_coding__p2@SHPK__chr17:3539558..3539589,-	0	-	chr17:3539558..3539589,-	chr17:3539539..3539653,-			chr17:3539539..3539653,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr17:3539539..3539653,-__1245.1.0.0
chr17	4458735	4458746	E2F4	11.5172	+	chr17	4458644	4458759	protein_coding__p1@MYBBP1A__chr17:4458616..4458712,-	0	-	chr17:4458616..4458712,-	chr17:4458644..4458758,-			chr17:4458644..4458758,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr17:4458644..4458758,-__1394.1.0.0
chr17	4458644	4458654	MAX	12.1538	-	chr17	4458644	4458759	protein_coding__p1@MYBBP1A__chr17:4458616..4458712,-	0	-	chr17:4458616..4458712,-	chr17:4458644..4458758,-			chr17:4458644..4458758,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr17:4458644..4458758,-__1394.1.0.0
chr17	4458644	4458653	Myc	11.8909	-	chr17	4458644	4458759	protein_coding__p1@MYBBP1A__chr17:4458616..4458712,-	0	-	chr17:4458616..4458712,-	chr17:4458644..4458758,-			chr17:4458644..4458758,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr17:4458644..4458758,-__1394.1.0.0
chr17	4458687	4458698	NRF1	18.6909	+	chr17	4458644	4458759	protein_coding__p1@MYBBP1A__chr17:4458616..4458712,-	0	-	chr17:4458616..4458712,-	chr17:4458644..4458758,-			chr17:4458644..4458758,-	WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr17:4458644..4458758,-__1394.1.0.0
chr17	46018757	46018768	E2F4	15.0862	-	chr17	46018723	46018838	div_lnc__p1@ENST00000433001__chr17:46018744..46018768,-	0	-	chr17:46018744..46018768,-	chr17:46018723..46018837,-			chr17:46018723..46018837,-	WILDTYPE__Antisense.noflip.NA__chr17:46018723..46018837,-__363.1.0.0
chr17	46018757	46018768	E2F6	15.2586	-	chr17	46018723	46018838	div_lnc__p1@ENST00000433001__chr17:46018744..46018768,-	0	-	chr17:46018744..46018768,-	chr17:46018723..46018837,-			chr17:46018723..46018837,-	WILDTYPE__Antisense.noflip.NA__chr17:46018723..46018837,-__363.1.0.0
chr17	46018723	46018724	Myc	13.3455	+	chr17	46018723	46018838	div_lnc__p1@ENST00000433001__chr17:46018744..46018768,-	0	-	chr17:46018744..46018768,-	chr17:46018723..46018837,-			chr17:46018723..46018837,-	WILDTYPE__Antisense.noflip.NA__chr17:46018723..46018837,-__363.1.0.0
chr17	46018835	46018838	NFYB	12.9423	+	chr17	46018723	46018838	div_lnc__p1@ENST00000433001__chr17:46018744..46018768,-	0	-	chr17:46018744..46018768,-	chr17:46018723..46018837,-			chr17:46018723..46018837,-	WILDTYPE__Antisense.noflip.NA__chr17:46018723..46018837,-__363.1.0.0
chr17	46018759	46018770	SP1	15.9038	+	chr17	46018723	46018838	div_lnc__p1@ENST00000433001__chr17:46018744..46018768,-	0	-	chr17:46018744..46018768,-	chr17:46018723..46018837,-			chr17:46018723..46018837,-	WILDTYPE__Antisense.noflip.NA__chr17:46018723..46018837,-__363.1.0.0
