unique_id	wt_id	SNP	rna_1_wt_med	rna_2_wt_med	rna_3_wt_med	rna_4_wt_med	combined_wt_med	rna_1_snp_med	rna_2_snp_med	rna_3_snp_med	rna_4_snp_med	combined_snp_med	rna_1_l2fc	rna_2_l2fc	rna_3_l2fc	rna_4_l2fc	combined_l2fc	rna_1_pval	rna_2_pval	rna_3_pval	rna_4_pval	combined_pval	rna_1_padj	rna_2_padj	rna_3_padj	rna_4_padj	combined_padj	rna_1_sig	rna_2_sig	rna_3_sig	rna_4_sig	combined_sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr9:136890491..136890605,+__901.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr9:136890491..136890605,+__901.1.0.0	rs433994	-1.4542230315834597		-0.8735625476160856		-1.1638927895997726	-3.7966592741698006	-2.5510180675286716	-1.4842322758584519	-1.3107221383532903	-2.2856579389775535	-2.342436242586341		-0.6106697282423662		-1.4765529854143535	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr9:136890491..136890605,+__901.1.2.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr9:136890491..136890605,+__901.1.0.0	rs401826	-1.4542230315834597		-0.8735625476160856		-1.1638927895997726	-2.504651553240422	-1.8868855686776023	0.03743088147871815	-1.5738816509612934	-1.4819969728501499	-1.0504285216569622		0.9109934290948039		-0.06971754628107918	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr9:136890491..136890605,+__901.1.2.1	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr9:136890491..136890605,+__901.1.0.0	rs433994,rs401826,rs115771424	-1.4542230315834597		-0.8735625476160856		-1.1638927895997726	-0.10177201497083553	0.8038044952752097	-0.3162809453864148		0.1285838449726531	1.3524510166126242		0.5572816022296708		0.9548663094211476	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.0.0	rs433994	-2.8419400778295887	-1.930833725870547	-1.3108406546166382	3.278398274210905	-0.7013040460264672											NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.2.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.0.0	rs401826	-2.8419400778295887	-1.930833725870547	-1.3108406546166382	3.278398274210905	-0.7013040460264672											NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.3.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.0.0	rs115771424	-2.8419400778295887	-1.930833725870547	-1.3108406546166382	3.278398274210905	-0.7013040460264672											NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_PLUS_HAPLO__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.3.1	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:136890532..136890646,+__902.1.0.0	rs433994,rs401826,rs115771424	-2.8419400778295887	-1.930833725870547	-1.3108406546166382	3.278398274210905	-0.7013040460264672	0.6023665818698263	0.8594191678413139	0.7947499181769735	-0.19711848973275736	0.514854294538839	3.444306659699415	2.7902528937118607	2.105590572793612	-3.475516763943662	1.2161583405653065	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:138799602..138799716,+__903.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:138799602..138799716,+__903.1.0.0	rs62585193	0.996746297089637	2.4047873594519595	3.143009535448394	2.1556570548531946	2.175050061710796	0.2765930887494812	2.496669320781054	3.0693731507702013	1.8578494125203866	1.9251212432052809	-0.7201532083401558	0.09188196132909443	-0.07363638467819245	-0.297807642332808	-0.24992881850551546	0.85089220831	0.428242856315	0.946473618223	0.737113058664	0.939756848195	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr9:139622601..139622715,-__904.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:139622601..139622715,-__904.1.0.0	rs9411221	2.8977063683695023	4.4468597861918555	5.36110016194589	3.86565282853045	4.1428297862594246	2.988404117665817	4.582183161782529	5.598501923773682	3.895171757775022	4.2660652402492625	0.0906977492963148	0.13532337559067376	0.23740176182779216	0.02951892924457189	0.12323545398983815	0.088148079887	0.216719559135	0.30750859871	0.914457985151	0.262752775458	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_PLUS_HAPLO__Antisense.flip.sense__chr9:139622601..139622715,-__904.1.1.1	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr9:139622601..139622715,-__904.1.0.0	rs538831931,rs9411221	2.8977063683695023	4.4468597861918555	5.36110016194589	3.86565282853045	4.1428297862594246	2.9583591411512975	4.4587334886338645	5.342027014201493	3.83264426727101	4.147940977814416	0.06065277278179515	0.011873702442009026	-0.019073147744396834	-0.03300856125943996	0.005111191554991845	0.382791178922	0.967868733231	0.79863356553	0.63839046467	0.914898690296	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.0.0	rs7024732	-3.659155028540981	-1.823460392430979	-1.084329992349624	-1.3568484330182002	-1.980948461584946	-2.7391187571518847	-2.107397196613368	-1.6630407415471273	-2.299569569550701	-2.2022815662157704	0.9200362713890962	-0.2839368041823891	-0.5787107491975034	-0.9427211365325006	-0.22133310463082423	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.2.0	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.0.0	rs3829076	-3.659155028540981	-1.823460392430979	-1.084329992349624	-1.3568484330182002	-1.980948461584946	-2.687226361344929	-1.889316158351275	-1.122186674616504	-1.7088156416617508	-1.8518862089936148	0.9719286671960519	-0.06585576592029607	-0.03785668226687999	-0.3519672086435506	0.1290622525913313	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.3.0	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.0.0	rs12551232	-3.659155028540981	-1.823460392430979	-1.084329992349624	-1.3568484330182002	-1.980948461584946	-1.7951195004136362	-1.028175680875088	0.028104166634625227	-0.8487349999167222	-0.9109815036427054	1.8640355281273446	0.795284711555891	1.1124341589842492	0.508113433101478	1.0699669579422406	NA__no_active_tile	NA__no_active_tile	0.000648445766563	0.29495293544	0.00395792777695	NA__no_active_tile	NA__no_active_tile	0.432513326298	1	1	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.4.0	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.0.0	rs3829077	-3.659155028540981	-1.823460392430979	-1.084329992349624	-1.3568484330182002	-1.980948461584946	-2.2425228723195545	-1.476980656894348	0.1818695065127962	-0.2787046057628991	-0.9540846571160014	1.4166321562214264	0.3464797355366309	1.2661994988624201	1.078143827255301	1.0268638044689444	NA__no_active_tile	NA__no_active_tile	9.98335414644e-06	0.00133155906714	1.37178632961e-07	NA__no_active_tile	NA__no_active_tile	0.00665889721567	0.761651786406	9.19096840841e-05	NA__too_many_rep_NAs	NA__too_many_rep_NAs	sig	not sig	sig
WILDTYPE_SNP_PLUS_HAPLO__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.4.1	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.0.0	rs7024732,rs3829076,rs12551232,rs3829077	-3.659155028540981	-1.823460392430979	-1.084329992349624	-1.3568484330182002	-1.980948461584946	-1.5118867890380083	-0.30699976561255193	1.3244870639754556	0.7208486267309581	0.05661228401396337	2.1472682395029725	1.5164606268184269	2.4088170563250797	2.077697059749158	2.0375607455989093	NA__no_active_tile	0.000122951138804	6.55420316999e-10	1.57825746834e-08	6.07587930247e-19	NA__no_active_tile	0.0189344753758	1.21908178962e-07	2.43051650124e-06	1.13618942956e-16	NA__too_many_rep_NAs	sig	sig	sig	sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:37079834..37079948,+__908.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:37079834..37079948,+__908.1.0.0	rs2291588	1.9136246433863469	3.3835123325510024	3.7679492828617374	2.925380322043368	2.9976166452106137	2.1546833806929557	3.404415789100649	3.9173924798999638	3.03614786099771	3.1281598776728194	0.24105873730660887	0.02090345654964665	0.1494431970382264	0.1107675389543421	0.130543232462206	0.259370210024	0.493479697885	0.809021331888	0.428242856315	0.506345527815	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:74920389..74920503,+__911.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:74920389..74920503,+__911.1.0.0	rs34965542	-2.6211304577811445	-2.615934872262808	-2.803677695209604	-2.6250580286142475	-2.666450263466951	-2.13151533955558	-1.4760892241128531	-2.112927149122961	-2.6062254226975448	-2.081689283872235	0.4896151182255646	1.1398456481499548	0.690750546086643	0.01883260591670277	0.5847609795947163	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr9:8858030..8858144,+__913.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr9:8858030..8858144,+__913.1.0.0	rs118166957	-1.2012429747696247	-0.2708448641617355	0.16866300684335545	-0.0362497379318536	-0.33491864250496456	-0.8433846976005015	-0.47297592502645114	0.09053744814732267	-1.1844417289601008	-0.6025662258599327	0.3578582771691232	-0.20213106086471566	-0.07812555869603277	-1.1481919910282472	-0.2676475833549681	NA__not_enough_barcodes	0.375513989452	0.935789553219	NA__not_enough_barcodes	0.802532550429	NA__not_enough_barcodes	1	1	NA__not_enough_barcodes	1	NA__too_many_rep_NAs	not sig	not sig	NA__too_many_rep_NAs	not sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:93195787..93195901,-__916.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:93195787..93195901,-__916.1.0.0	rs115851118	-2.5233026772994807	-1.746692553442109	-2.158628441720534	-1.8881737862544974	-2.0791993646791553	-1.5430266562284185	-2.5402767915120283	-1.5787745741843056	-2.361340525203106	-2.0058546367819643	0.9802760210710622	-0.7935842380699194	0.5798538675362286	-0.4731667389486087	0.07334472789719065	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:93195787..93195901,-__916.1.2.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:93195787..93195901,-__916.1.0.0	rs2114345	-2.5233026772994807	-1.746692553442109	-2.158628441720534	-1.8881737862544974	-2.0791993646791553	-1.6564426289928988	-0.3625446834458214	-0.1798418542174158	-1.5267321128942017	-0.9313903198875844	0.8668600483065818	1.3841478699962875	1.9787865875031183	0.36144167336029565	1.1478090447915708	NA__not_enough_barcodes	0.8931878581	0.00160288548718	NA__not_enough_barcodes	0.114170326802	NA__not_enough_barcodes	1	1	NA__not_enough_barcodes	1	NA__too_many_rep_NAs	not sig	not sig	NA__too_many_rep_NAs	not sig
WILDTYPE_SNP_PLUS_HAPLO__Lincrna.noflip.NA__chr9:93195787..93195901,-__916.1.2.1	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:93195787..93195901,-__916.1.0.0	rs2114346,rs115851118,rs2114345	-2.5233026772994807	-1.746692553442109	-2.158628441720534	-1.8881737862544974	-2.0791993646791553	-2.4564241459611624	-1.3922751581512425	-1.181028869093288	-1.5728060443793364	-1.6506335543962574	0.06687853133831823	0.35441739529086647	0.9775995726272462	0.31536774187516103	0.428565810282898	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__no_active_tile	NA__no_active_tile	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:94903461..94903575,+__917.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:94903461..94903575,+__917.1.0.0	rs10992251	-2.2667363493527573	-1.6001654748454026	-1.206254150933377	-1.8855972460769919	-1.7396883053021321	-1.6008616904457162	-1.1383148644123435	-0.8374321384456198	-1.4494786510090611	-1.2565218360781851	0.665874658907041	0.4618506104330591	0.36882201248775726	0.4361185950679307	0.483166469223947	NA__no_active_tile	NA__no_active_tile	0.143309689892	NA__no_active_tile	0.143309689892	NA__no_active_tile	NA__no_active_tile	1	NA__no_active_tile	1	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	NA__too_many_rep_NAs	not sig
WILDTYPE_SNP_PLUS_HAPLO__Lincrna.noflip.NA__chr9:94903461..94903575,+__917.1.1.1	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:94903461..94903575,+__917.1.0.0	rs10992251,rs3927571	-2.2667363493527573	-1.6001654748454026	-1.206254150933377	-1.8855972460769919	-1.7396883053021321	-1.2154202963548175	-1.2303838196586252	-0.5640116553429877	-1.9670940344188537	-1.244227451443821	1.0513160529979397	0.3697816551867774	0.6422424955903894	-0.0814967883418618	0.4954608538583111	NA__not_enough_barcodes	NA__no_active_tile	0.0306338636977	NA__not_enough_barcodes	0.0306338636977	NA__not_enough_barcodes	NA__no_active_tile	1	NA__not_enough_barcodes	1	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	NA__too_many_rep_NAs	not sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:98189077..98189191,-__919.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:98189077..98189191,-__919.1.0.0	rs357525		-1.5750532682715783		-1.1278626041136743	-1.3514579361926264	-2.347981595679084	1.2912721235386502	1.6110294238802991	-0.5868014384145389	-0.008120371668668441		2.8663253918102285		0.5410611656991354	1.703693278754682	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:98189077..98189191,-__919.1.2.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:98189077..98189191,-__919.1.0.0	rs535305821		-1.5750532682715783		-1.1278626041136743	-1.3514579361926264	-0.681148321775568	-0.6719748914974019	0.5604371556847334	1.027153704034018	0.05861691161144533		0.9030783767741765		2.155016308147692	1.5290473424609343	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:98189077..98189191,-__919.1.3.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:98189077..98189191,-__919.1.0.0	rs357524		-1.5750532682715783		-1.1278626041136743	-1.3514579361926264	-2.239354211167065	-0.02603763168463935	0.4907181037580371	-0.2766222855523817	-0.5128240061615122		1.549015636586939		0.8512403185612927	1.2001279775741158	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_PLUS_HAPLO__Lincrna.noflip.NA__chr9:98189077..98189191,-__919.1.3.1	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:98189077..98189191,-__919.1.0.0	rs357525,rs535305821,rs357524		-1.5750532682715783		-1.1278626041136743	-1.3514579361926264	-1.796334971969424	-1.363980584531908	-0.04592961262527015	-1.6889998927303795	-1.2238112654642455		0.21107268373967036		-0.5611372886167052	-0.17503230243851742	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr9:98638226..98638340,-__922.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr9:98638226..98638340,-__922.1.0.0	rs75475951	-0.10540176142792686	2.2246476633793946	2.864430304055786	1.6229218296859116	1.6516495089232912	1.1124730359571535	2.5910650703312887	2.761581730815202	2.124326374557084	2.147361552915182	1.2178747973850803	0.3664174069518942	-0.10284857324058372	0.5014045448711724	0.4957120439918908	0.317148697424	0.819440831591	0.581967350665	0.628827692687	0.686734097668	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr9:98638226..98638340,-__922.1.2.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr9:98638226..98638340,-__922.1.0.0	rs690528	-0.10540176142792686	2.2246476633793946	2.864430304055786	1.6229218296859116	1.6516495089232912	0.4258018832587592	2.375844909906819	2.759564950515375	1.6155513639611494	1.7941907769105256	0.531203644686686	0.1511972465274245	-0.10486535354041093	-0.007370465724762187	0.14254126798723435	0.536806685117	0.978575692288	0.648013768535	0.989287003123	0.991779264051	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr9:98638226..98638340,-__922.1.3.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr9:98638226..98638340,-__922.1.0.0	rs56108623	-0.10540176142792686	2.2246476633793946	2.864430304055786	1.6229218296859116	1.6516495089232912	0.25536833691369776	1.60562474534752	2.002783754003906	1.2512205370603813	1.2787493433313764	0.3607700983416246	-0.6190229180318745	-0.86164655005188	-0.3717012926255303	-0.372900165591915	0.79863356553	0.088144440914	0.00133155906714	0.270885072145	0.0194657087163	1	1	0.888149897784	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr9:98638226..98638340,-__922.1.3.1	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr9:98638226..98638340,-__922.1.0.0	rs75475951,rs690528,rs56108623	-0.10540176142792686	2.2246476633793946	2.864430304055786	1.6229218296859116	1.6516495089232912	0.4714916313464537	1.4959540932923678	2.020686437920041	0.35425644007193724	1.0855971506577	0.5768933927743806	-0.7286935700870267	-0.8437438661357448	-1.2686653896139743	-0.5660523582655913	0.368322877114	0.0741264784486	0.0201846528804	0.259370210024	0.0125898900387	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chr9:99449259..99449373,+__923.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr9:99449259..99449373,+__923.1.0.0	rs10978594	0.03441981846529194	0.9873532328292846	1.982735661964816	0.7719122339679697	0.9441052368068406	-1.0629532816699725	0.2936142249979654	0.9384487883474386	0.1794150607043358	0.08713119809494183	-1.0973731001352645	-0.6937390078313191	-1.0442868736173774	-0.5924971732636339	-0.8569740387118988	0.989287003123	0.0150845533775	0.000751093855117	0.0145358169752	0.00449910069408	1	1	0.500979601363	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chrX:102024009..102024123,+__924.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chrX:102024009..102024123,+__924.1.0.0	rs2499827	2.037597665345725	3.340788262859885	3.6737239559338164	2.8762282257458045	2.982084527471308	2.0409077528492343	3.321765884360512	3.757422961000758	2.791725465859372	2.9779555160174693	0.0033100875035092514	-0.019022378499372827	0.08369900506694172	-0.08450275988643252	-0.004129011453838594	0.788281320858	0.706946403854	0.957167318493	0.747262025795	0.968894452867	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_PLUS_HAPLO__Lincrna.noflip.NA__chrX:102024009..102024123,+__924.1.1.1	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chrX:102024009..102024123,+__924.1.0.0	rs2499827,rs149119626	2.037597665345725	3.340788262859885	3.6737239559338164	2.8762282257458045	2.982084527471308	2.0223484655633626	3.2474358487239776	3.620051998585376	2.7415630035648784	2.9078498291093986	-0.0152491997823625	-0.09335241413590722	-0.05367195734844055	-0.13466522218092614	-0.0742346983619091	0.687084607526	0.166665831608	0.696989544957	0.129198935732	0.292147141482	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Lincrna.noflip.NA__chrX:114957217..114957331,+__927.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chrX:114957217..114957331,+__927.1.0.0	rs2301952	-2.4554596622166196	-1.0740907073691903	-1.398373939599391	-2.2502006283486375	-1.7945312343834596	-3.297786344266383	-2.636511037203663	-2.678925818385644	-2.506326791077247	-2.7798874977332337	-0.8423266820497632	-1.5624203298344725	-1.280551878786253	-0.25612616272860933	-0.9853562633497746	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
