index	n_total_motifs	n_unique_motifs	max_cov	n_bp_cov	log_n_total_motifs	log_n_unique_motifs	log_max_cov	log_n_bp_cov
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:11324047..11324161,+__1811.1.0.0	10	10	4	60	2.302585092994046	2.302585092994046	1.3862943611198906	4.0943445622221
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:143247956..143248070,+__1812.1.0.0	26	23	8	91	3.258096538021482	3.1354942159291497	2.0794415416798357	4.51085950651685
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:143247973..143248087,-__2105.1.0.0	24	22	9	74	3.1780538303479458	3.091042453358316	2.1972245773362196	4.30406509320417
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:160137769..160137883,+__1972.1.0.0	6	6	2	52	1.791759469228055	1.791759469228055	0.6931471805599453	3.9512437185814275
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:160137774..160137888,-__2265.1.0.0	7	7	2	63	1.9459101490553132	1.9459101490553132	0.6931471805599453	4.143134726391533
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:26126471..26126585,+__1973.1.0.0	49	30	18	85	3.8918202981106265	3.4011973816621555	2.8903717578961645	4.442651256490317
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:26126481..26126595,-__2266.1.0.0	35	16	10	72	3.5553480614894135	2.772588722239781	2.302585092994046	4.276666119016055
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:30650001..30650115,+__1974.1.0.0	24	20	14	57	3.1780538303479458	2.995732273553991	2.6390573296152584	4.04305126783455
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:30720242..30720356,-__2268.1.0.0	27	26	16	73	3.295836866004329	3.258096538021482	2.772588722239781	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:30720294..30720408,+__1975.1.0.0	25	24	16	73	3.2188758248682006	3.1780538303479458	2.772588722239781	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:30731366..30731480,-__2269.1.0.0	16	15	9	86	2.772588722239781	2.70805020110221	2.1972245773362196	4.454347296253507
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:30731404..30731518,+__1976.1.0.0	19	17	9	92	2.9444389791664403	2.833213344056216	2.1972245773362196	4.5217885770490405
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:30737487..30737601,-__2270.1.0.0	28	21	13	65	3.332204510175204	3.044522437723423	2.5649493574615367	4.174387269895637
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:30737519..30737633,+__1977.1.0.0	24	20	13	83	3.1780538303479458	2.995732273553991	2.5649493574615367	4.418840607796598
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:31705830..31705944,+__1978.1.0.0	30	23	15	70	3.4011973816621555	3.1354942159291497	2.70805020110221	4.248495242049359
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:32571807..32571921,-__2272.1.0.0	14	12	7	74	2.6390573296152584	2.4849066497880004	1.9459101490553132	4.30406509320417
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:32571851..32571965,+__1979.1.0.0	9	7	7	35	2.1972245773362196	1.9459101490553132	1.9459101490553132	3.5553480614894135
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:32577663..32577777,-__2273.1.0.0	20	15	10	53	2.995732273553991	2.70805020110221	2.302585092994046	3.970291913552122
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:32577762..32577876,+__1980.1.0.0	27	21	20	49	3.295836866004329	3.044522437723423	2.995732273553991	3.8918202981106265
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr6:86114662..86114776,+__1981.1.0.0	16	15	11	43	2.772588722239781	2.70805020110221	2.3978952727983707	3.7612001156935624
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:111722002..111722116,-__2306.1.0.0	11	11	7	37	2.3978952727983707	2.3978952727983707	1.9459101490553132	3.6109179126442243
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:128171109..128171223,-__2301.1.0.0	18	17	7	90	2.8903717578961645	2.833213344056216	1.9459101490553132	4.499809670330265
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:128171201..128171315,+__2008.1.0.0	52	31	19	103	3.9512437185814275	3.4339872044851463	2.9444389791664403	4.634728988229636
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:130586299..130586413,+__1818.1.0.0	40	24	19	51	3.6888794541139363	3.1780538303479458	2.9444389791664403	3.9318256327243257
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:151541671..151541785,-__2113.1.0.0	17	15	11	66	2.833213344056216	2.70805020110221	2.3978952727983707	4.189654742026425
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:151541708..151541822,+__1820.1.0.0	25	23	11	76	3.2188758248682006	3.1354942159291497	2.3978952727983707	4.330733340286331
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:1894829..1894943,-__2275.1.0.0	36	30	28	72	3.58351893845611	3.4011973816621555	3.332204510175204	4.276666119016055
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:1894873..1894987,+__1982.1.0.0	38	31	25	89	3.6375861597263857	3.4339872044851463	3.2188758248682006	4.48863636973214
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:47521819..47521933,-__2209.1.0.0	20	17	8	71	2.995732273553991	2.833213344056216	2.0794415416798357	4.2626798770413155
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:47521821..47521935,+__1916.1.0.0	20	17	8	71	2.995732273553991	2.833213344056216	2.0794415416798357	4.2626798770413155
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:75947352..75947466,-__2276.1.0.0	10	10	5	56	2.302585092994046	2.302585092994046	1.6094379124341003	4.02535169073515
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr7:75947478..75947592,+__1983.1.0.0	48	38	17	79	3.871201010907891	3.6375861597263857	2.833213344056216	4.3694478524670215
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr8:134911741..134911855,-__2115.1.0.0	23	23	13	54	3.1354942159291497	3.1354942159291497	2.5649493574615367	3.9889840465642745
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr8:134911743..134911857,+__1822.1.0.0	22	22	13	41	3.091042453358316	3.091042453358316	2.5649493574615367	3.713572066704308
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr8:39797592..39797706,+__1984.1.0.0	9	9	9	34	2.1972245773362196	2.1972245773362196	2.1972245773362196	3.5263605246161616
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr9:140134851..140134965,-__2218.1.0.0	63	46	46	88	4.143134726391533	3.828641396489095	3.828641396489095	4.477336814478207
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr9:29214211..29214325,+__1827.1.0.0	21	21	14	64	3.044522437723423	3.044522437723423	2.6390573296152584	4.1588830833596715
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr9:35604021..35604135,-__2278.1.0.0	18	18	11	99	2.8903717578961645	2.8903717578961645	2.3978952727983707	4.59511985013459
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr9:35604089..35604203,+__1985.1.0.0	31	31	22	72	3.4339872044851463	3.4339872044851463	3.091042453358316	4.276666119016055
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr9:73035001..73035115,-__2308.1.0.0	47	29	20	87	3.8501476017100584	3.367295829986474	2.995732273553991	4.465908118654584
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr9:73035037..73035151,+__2015.1.0.0	43	25	20	88	3.7612001156935624	3.2188758248682006	2.995732273553991	4.477336814478207
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr9:90407774..90407888,-__2279.1.0.0	25	20	11	93	3.2188758248682006	2.995732273553991	2.3978952727983707	4.532599493153256
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chrX:125606684..125606798,-__2309.1.0.0	12	11	8	33	2.4849066497880004	2.3978952727983707	2.0794415416798357	3.4965075614664802
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chrX:154029191..154029305,-__2280.1.0.0	18	13	13	89	2.8903717578961645	2.5649493574615367	2.5649493574615367	4.48863636973214
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chrX:154029200..154029314,+__1987.1.0.0	18	13	13	89	2.8903717578961645	2.5649493574615367	2.5649493574615367	4.48863636973214
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chrX:23971400..23971514,-__2122.1.0.0	11	9	6	56	2.3978952727983707	2.1972245773362196	1.791759469228055	4.02535169073515
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chrX:23971444..23971558,+__1829.1.0.0	16	15	6	85	2.772588722239781	2.70805020110221	1.791759469228055	4.442651256490317
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr11:118868677..118868791,-__157.1.0.0	20	18	12	71	2.995732273553991	2.8903717578961645	2.4849066497880004	4.2626798770413155
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr11:13011056..13011170,-__166.1.0.0	9	6	4	63	2.1972245773362196	1.791759469228055	1.3862943611198906	4.143134726391533
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr13:99852893..99853007,-__276.1.0.0	11	9	4	65	2.3978952727983707	2.1972245773362196	1.3862943611198906	4.174387269895637
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr16:2014868..2014982,+__341.1.0.0	38	25	19	85	3.6375861597263857	3.2188758248682006	2.9444389791664403	4.442651256490317
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr17:13972761..13972875,-__350.1.0.0	38	37	20	82	3.6375861597263857	3.6109179126442243	2.995732273553991	4.406719247264253
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:109642741..109642855,+__3.1.0.0	43	39	21	98	3.7612001156935624	3.6635616461296463	3.044522437723423	4.584967478670572
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:211556065..211556179,+__50.1.0.0	32	27	22	49	3.4657359027997265	3.295836866004329	3.091042453358316	3.8918202981106265
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:213031405..213031519,-__51.1.0.0	20	17	11	83	2.995732273553991	2.833213344056216	2.3978952727983707	4.418840607796598
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:22351918..22352032,+__53.1.0.0	64	42	32	87	4.1588830833596715	3.7376696182833684	3.4657359027997265	4.465908118654584
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:231664267..231664381,-__56.1.0.0	33	26	16	93	3.4965075614664802	3.258096538021482	2.772588722239781	4.532599493153256
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:3816890..3817004,+__72.1.0.0	83	35	16	82	4.418840607796598	3.5553480614894135	2.772588722239781	4.406719247264253
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:713977..714091,-__88.1.0.0	24	21	16	74	3.1780538303479458	3.044522437723423	2.772588722239781	4.30406509320417
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:762867..762981,-__90.1.0.0	46	36	19	105	3.828641396489095	3.58351893845611	2.9444389791664403	4.653960350157523
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:91317140..91317254,-__95.1.0.0	16	12	7	86	2.772588722239781	2.4849066497880004	1.9459101490553132	4.454347296253507
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr20:18547998..18548112,+__457.1.0.0	27	26	24	56	3.295836866004329	3.258096538021482	3.1780538303479458	4.02535169073515
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr22:43011170..43011284,+__530.1.0.0	2	2	1	23	0.6931471805599453	0.6931471805599453	0.0	3.1354942159291497
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr22:48027372..48027486,+__534.1.0.0	31	24	21	77	3.4339872044851463	3.1780538303479458	3.044522437723423	4.343805421853684
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr2:139259230..139259344,-__400.1.0.0	40	33	29	71	3.6888794541139363	3.4965075614664802	3.367295829986474	4.2626798770413155
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr2:160568910..160569024,-__403.1.0.0	30	22	21	84	3.4011973816621555	3.091042453358316	3.044522437723423	4.430816798843313
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr2:74375092..74375206,+__445.1.0.0	38	28	16	95	3.6375861597263857	3.332204510175204	2.772588722239781	4.553876891600541
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr3:67705091..67705205,+__589.1.0.0	19	11	8	85	2.9444389791664403	2.3978952727983707	2.0794415416798357	4.442651256490317
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr4:53578591..53578705,+__634.1.0.0	22	17	15	68	3.091042453358316	2.833213344056216	2.70805020110221	4.219507705176107
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr4:6675094..6675208,+__637.1.0.0	30	30	30	49	3.4011973816621555	3.4011973816621555	3.4011973816621555	3.8918202981106265
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr5:104728636..104728750,-__651.1.0.0	23	20	12	62	3.1354942159291497	2.995732273553991	2.4849066497880004	4.127134385045092
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr5:38845829..38845943,-__693.1.0.0	28	24	18	72	3.332204510175204	3.1780538303479458	2.8903717578961645	4.276666119016055
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr5:44808796..44808910,-__698.1.0.0	1	1	1	18	0.0	0.0	0.0	2.8903717578961645
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr5:9546244..9546358,+__720.1.0.0	99	32	32	91	4.59511985013459	3.4657359027997265	3.4657359027997265	4.51085950651685
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr6:4021366..4021480,-__751.1.0.0	29	28	20	57	3.367295829986474	3.332204510175204	2.995732273553991	4.04305126783455
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr7:119547394..119547508,-__770.1.0.0	10	9	7	73	2.302585092994046	2.1972245773362196	1.9459101490553132	4.290459441148391
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr7:23145264..23145378,-__795.1.0.0	38	32	17	72	3.6375861597263857	3.4657359027997265	2.833213344056216	4.276666119016055
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr7:65958634..65958748,+__811.1.0.0	15	12	4	101	2.70805020110221	2.4849066497880004	1.3862943611198906	4.61512051684126
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr8:144363811..144363925,-__844.1.0.0	59	35	25	82	4.07753744390572	3.5553480614894135	3.2188758248682006	4.406719247264253
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr8:30601601..30601715,+__852.1.0.0	32	28	19	67	3.4657359027997265	3.332204510175204	2.9444389791664403	4.204692619390966
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr8:52811806..52811920,+__858.1.0.0	23	17	10	77	3.1354942159291497	2.833213344056216	2.302585092994046	4.343805421853684
WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr9:35657979..35658093,-__907.1.0.0	14	14	6	63	2.6390573296152584	2.6390573296152584	1.791759469228055	4.143134726391533
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:102133304..102133418,+__103.1.0.0	12	11	7	58	2.4849066497880004	2.3978952727983707	1.9459101490553132	4.060443010546419
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:10836906..10837020,-__106.1.0.0	6	6	4	44	1.791759469228055	1.791759469228055	1.3862943611198906	3.784189633918261
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:4285846..4285960,-__124.1.0.0	11	11	8	76	2.3978952727983707	2.3978952727983707	2.0794415416798357	4.330733340286331
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:43915994..43916108,+__127.1.0.0	15	14	14	48	2.70805020110221	2.6390573296152584	2.6390573296152584	3.871201010907891
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:54515153..54515267,-__130.1.0.0	13	11	9	74	2.5649493574615367	2.3978952727983707	2.1972245773362196	4.30406509320417
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:60759312..60759426,+__132.1.0.0	12	12	9	25	2.4849066497880004	2.4849066497880004	2.1972245773362196	3.2188758248682006
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:80008510..80008624,+__139.1.0.0	5	5	5	29	1.6094379124341003	1.6094379124341003	1.6094379124341003	3.367295829986474
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr11:122073676..122073790,-__160.1.0.0	3	3	2	18	1.0986122886681098	1.0986122886681098	0.6931471805599453	2.8903717578961645
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr11:122238640..122238754,-__163.1.0.0	3	3	3	7	1.0986122886681098	1.0986122886681098	1.0986122886681098	1.9459101490553132
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr11:122293488..122293602,-__164.1.0.0	9	8	4	46	2.1972245773362196	2.0794415416798357	1.3862943611198906	3.828641396489095
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr11:2017351..2017465,-__170.1.0.0	4	4	3	34	1.3862943611198906	1.3862943611198906	1.0986122886681098	3.5263605246161616
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr11:2018415..2018529,-__171.1.0.0	10	10	7	46	2.302585092994046	2.302585092994046	1.9459101490553132	3.828641396489095
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr11:62622910..62623024,-__186.1.0.0	4	4	3	33	1.3862943611198906	1.3862943611198906	1.0986122886681098	3.4965075614664802
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr12:24715358..24715472,-__222.1.0.0	16	10	10	79	2.772588722239781	2.302585092994046	2.302585092994046	4.3694478524670215
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr12:30948822..30948936,+__228.1.0.0	18	14	13	63	2.8903717578961645	2.6390573296152584	2.5649493574615367	4.143134726391533
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr12:58329796..58329910,-__242.1.0.0	10	10	4	65	2.302585092994046	2.302585092994046	1.3862943611198906	4.174387269895637
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr12:58329844..58329958,-__243.1.0.0	18	15	10	76	2.8903717578961645	2.70805020110221	2.302585092994046	4.330733340286331
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr12:58329889..58330003,-__244.1.0.0	33	32	23	58	3.4965075614664802	3.4657359027997265	3.1354942159291497	4.060443010546419
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr12:68845441..68845555,-__248.1.0.0	12	12	5	63	2.4849066497880004	2.4849066497880004	1.6094379124341003	4.143134726391533
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr13:30951056..30951170,-__263.1.0.0	11	11	8	43	2.3978952727983707	2.3978952727983707	2.0794415416798357	3.7612001156935624
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr13:34250896..34251010,-__265.1.0.0	20	19	16	64	2.995732273553991	2.9444389791664403	2.772588722239781	4.1588830833596715
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr14:105147390..105147504,+__278.1.0.0	27	26	14	99	3.295836866004329	3.258096538021482	2.6390573296152584	4.59511985013459
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr14:106355851..106355965,+__279.1.0.0	9	8	4	49	2.1972245773362196	2.0794415416798357	1.3862943611198906	3.8918202981106265
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr14:75083315..75083429,-__300.1.0.0	34	30	20	79	3.5263605246161616	3.4011973816621555	2.995732273553991	4.3694478524670215
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr14:77425899..77426013,+__304.1.0.0	10	10	7	53	2.302585092994046	2.302585092994046	1.9459101490553132	3.970291913552122
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr14:86400970..86401084,+__306.1.0.0	26	8	8	44	3.258096538021482	2.0794415416798357	2.0794415416798357	3.784189633918261
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr15:88120080..88120194,+__336.1.0.0	21	20	16	75	3.044522437723423	2.995732273553991	2.772588722239781	4.31748811353631
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr16:54963049..54963163,-__346.1.0.0	52	36	17	64	3.9512437185814275	3.58351893845611	2.833213344056216	4.1588830833596715
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr16:66442347..66442461,+__347.1.0.0	9	8	6	46	2.1972245773362196	2.0794415416798357	1.791759469228055	3.828641396489095
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr17:19015911..19016025,-__356.1.0.0	4	4	2	41	1.3862943611198906	1.3862943611198906	0.6931471805599453	3.713572066704308
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr19:11750538..11750652,+__375.1.0.0	12	12	7	75	2.4849066497880004	2.4849066497880004	1.9459101490553132	4.31748811353631
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr19:37178274..37178388,-__382.1.0.0	23	23	11	96	3.1354942159291497	3.1354942159291497	2.3978952727983707	4.564348191467836
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr19:37742733..37742847,+__383.1.0.0	34	25	24	56	3.5263605246161616	3.2188758248682006	3.1780538303479458	4.02535169073515
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:145382340..145382454,-__15.1.0.0	16	9	6	71	2.772588722239781	2.1972245773362196	1.791759469228055	4.2626798770413155
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:146989664..146989778,-__17.1.0.0	38	35	22	91	3.6375861597263857	3.5553480614894135	3.091042453358316	4.51085950651685
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:159930967..159931081,+__25.1.0.0	27	27	16	63	3.295836866004329	3.295836866004329	2.772588722239781	4.143134726391533
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:169073251..169073365,+__1716.1.0.0	8	8	7	35	2.0794415416798357	2.0794415416798357	1.9459101490553132	3.5553480614894135
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:209602085..209602199,+__48.1.0.0	10	10	9	63	2.302585092994046	2.302585092994046	2.1972245773362196	4.143134726391533
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:234764949..234765063,+__58.1.0.0	12	12	9	43	2.4849066497880004	2.4849066497880004	2.1972245773362196	3.7612001156935624
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:28975032..28975146,+__64.1.0.0	4	3	3	26	1.3862943611198906	1.0986122886681098	1.0986122886681098	3.258096538021482
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:37939973..37940087,-__71.1.0.0	59	32	25	94	4.07753744390572	3.4657359027997265	3.2188758248682006	4.543294782270004
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr1:98511745..98511859,-__102.1.0.0	15	12	10	66	2.70805020110221	2.4849066497880004	2.302585092994046	4.189654742026425
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr20:42839552..42839666,+__475.1.0.0	54	45	36	87	3.9889840465642745	3.8066624897703196	3.58351893845611	4.465908118654584
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr20:48909177..48909291,+__482.1.0.0	52	46	30	96	3.9512437185814275	3.828641396489095	3.4011973816621555	4.564348191467836
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr20:50827123..50827237,+__483.1.0.0	16	15	10	69	2.772588722239781	2.70805020110221	2.302585092994046	4.23410650459726
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr21:16126131..16126245,-__492.1.0.0	19	12	6	66	2.9444389791664403	2.4849066497880004	1.791759469228055	4.189654742026425
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr21:16254290..16254404,-__493.1.0.0	7	7	6	34	1.9459101490553132	1.9459101490553132	1.791759469228055	3.5263605246161616
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr21:17566701..17566815,+__495.1.0.0	21	21	9	66	3.044522437723423	3.044522437723423	2.1972245773362196	4.189654742026425
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr21:45595258..45595372,+__507.1.0.0	33	19	15	78	3.4965075614664802	2.9444389791664403	2.70805020110221	4.356708826689592
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr22:27053403..27053517,+__515.1.0.0	12	11	6	57	2.4849066497880004	2.3978952727983707	1.791759469228055	4.04305126783455
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr22:27068673..27068787,+__518.1.0.0	53	34	29	60	3.970291913552122	3.5263605246161616	3.367295829986474	4.0943445622221
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr22:42765220..42765334,-__529.1.0.0	46	21	17	101	3.828641396489095	3.044522437723423	2.833213344056216	4.61512051684126
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr22:45559539..45559653,-__531.1.0.0	19	19	10	67	2.9444389791664403	2.9444389791664403	2.302585092994046	4.204692619390966
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr22:45559619..45559733,-__532.1.0.0	28	26	15	59	3.332204510175204	3.258096538021482	2.70805020110221	4.07753744390572
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr2:130031310..130031424,-__1717.1.0.0	19	19	15	72	2.9444389791664403	2.9444389791664403	2.70805020110221	4.276666119016055
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr2:162101170..162101284,+__1718.1.0.0	11	8	5	67	2.3978952727983707	2.0794415416798357	1.6094379124341003	4.204692619390966
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr2:177502682..177502796,-__413.1.0.0	7	7	5	38	1.9459101490553132	1.9459101490553132	1.6094379124341003	3.6375861597263857
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr2:235363204..235363318,-__424.1.0.0	5	4	2	29	1.6094379124341003	1.3862943611198906	0.6931471805599453	3.367295829986474
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr2:238343430..238343544,-__427.1.0.0	25	14	11	81	3.2188758248682006	2.6390573296152584	2.3978952727983707	4.394449154672439
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr2:38466697..38466811,-__436.1.0.0	15	14	11	34	2.70805020110221	2.6390573296152584	2.3978952727983707	3.5263605246161616
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr2:47572092..47572206,-__437.1.0.0	8	4	2	58	2.0794415416798357	1.3862943611198906	0.6931471805599453	4.060443010546419
